Family,Scientific_name
Labridae,Acantholabrus_palloni
Acipenseridae,Acipenser_naccarii
Acipenseridae,Acipenser_sturio
Blenniidae,Aidablennius_sphynx
Alopiidae,Alopias_vulpinus
Clupeidae,Alosa_alosa
Clupeidae,Alosa_fallax
Ammodytidae,Ammodytes_tobianus
Anguillidae,Anguilla_anguilla
Serranidae,Anthias_anthias
Cyprinodontidae,Aphanius_fasciatus
Gobiidae,Aphia_minuta
Apogonidae,Apogon_imberbis
Argentinidae,Argentina_sphyraena
Sciaenidae,Argyrosomus_regius
Bothidae,Arnoglossus_kessleri
Bothidae,Arnoglossus_laterna
Triglidae,Aspitrigla_cuculus
Atherinidae,Atherina_boyeri
Atherinidae,Atherina_hepsetus
Scombridae,Auxis_rochei_rochei
Balistidae,Balistes_capriscus
Belonidae,Belone_belone
Blenniidae,Blennius_ocellaris
Sparidae,Boops_boops
Bothidae,Bothus_podas
Bramidae,Brama_brama
Soleidae,Buglossidium_luteum
Callionymidae,Callionymus_lyra
Callionymidae,Callionymus_maculatus
Callionymidae,Callionymus_pusillus
Callionymidae,Callionymus_risso
Carangidae,Campogramma_glaycos
Caproidae,Capros_aper
Carapidae,Carapus_acus
Carcharhinidae,Carcharhinus_plumbeus
Odontaspididae,Carcharias_taurus
Lamnidae,Carcharodon_carcharias
Centrolophidae,Centrolophus_niger
Cepolidae,Cepola_macrophthalma
Cetorhinidae,Cetorhinus_maximus
Triglidae,Chelidonichthys_lastoviza
Triglidae,Chelidonichthys_lucernus
Mugilidae,Chelon_labrosus
Pomacentridae,Chromis_chromis
Gobiidae,Chromogobius_quadrivittatus
Citharidae,Citharus_linguatula
Clinidae,Clinitrachus_argentatus
Congridae,Conger_conger
Labridae,Coris_julis
Coryphaenidae,Coryphaena_hippurus
Blenniidae,Coryphoblennius_galerita
Dactylopteridae,Dactylopterus_volitans
Ophichthidae,Dalophis_imberbis
Dasyatidae,Dasyatis_centroura
Dasyatidae,Dasyatis_pastinaca
Gobiidae,Deltentosteus_quadrimaculatus
Sparidae,Dentex_dentex
Sparidae,Dentex_gibbosus
Moronidae,Dicentrarchus_labrax
Gobiesocidae,Diplecogaster_bimaculata_bimaculata
Sparidae,Diplodus_annularis
Sparidae,Diplodus_puntazzo
Sparidae,Diplodus_sargus_sargus
Sparidae,Diplodus_vulgaris
Rajidae,Dipturus_batis
Rajidae,Dipturus_oxyrinchus
Ophichthidae,Echelus_myrus
Trachinidae,Echiichthys_vipera
Echinorhinidae,Echinorhinus_brucus
Engraulidae,Engraulis_encrasicolus
Serranidae,Epinephelus_marginatus
Dalatiidae,Etmopterus_spinax
Scombridae,Euthynnus_alletteratus
Triglidae,Eutrigla_gurnardus
Exocoetidae,Exocoetus_volitans
Lotidae,Gaidropsarus_mediterraneus
Lotidae,Gaidropsarus_vulgaris
Triakidae,Galeorhinus_galeus
Scyliorhinidae,Galeus_melastomus
Gasterosteidae,Gasterosteus_aculeatus_aculeatus
Gobiidae,Gobius_auratus
Gobiidae,Gobius_cobitis
Gobiidae,Gobius_cruentatus
Gobiidae,Gobius_geniporus
Gobiidae,Gobius_niger
Gobiidae,Gobius_paganellus
Gobiidae,Gobiusculus_flavescens
Gobiesocidae,Gouania_willdenowi
Bythitidae,Grammonus_ater
Ammodytidae,Gymnammodytes_cicerelus
Muraenidae,Gymnothorax_unicolor
Gymnuridae,Gymnura_altavela
Sebastidae,Helicolenus_dactylopterus_dactylopterus
Hexanchidae,Heptranchias_perlo
Hexanchidae,Hexanchus_griseus
Syngnathidae,Hippocampus_guttulatus
Syngnathidae,Hippocampus_hippocampus
Exocoetidae,Hirundichthys_rondeletii
Acipenseridae,Huso_huso
Lamnidae,Isurus_oxyrinchus
Scombridae,Katsuwonus_pelamis
Gobiidae,Knipowitschia_panizzae
Labridae,Labrus_merula
Labridae,Labrus_mixtus
Labridae,Labrus_viridis
Lamnidae,Lamna_nasus
Petromyzontidae,Lampetra_fluviatilis
Gobiesocidae,Lepadogaster_candolii
Gobiesocidae,Lepadogaster_lepadogaster
Trichiuridae,Lepidopus_caudatus
Triglidae,Lepidotrigla_cavillone
Gobiidae,Lesueurigobius_suerii
Rajidae,Leucoraja_fullonica
Carangidae,Lichia_amia
Blenniidae,Lipophrys_pholis
Sparidae,Lithognathus_mormyrus
Mugilidae,Liza_aurata
Mugilidae,Liza_ramado
Mugilidae,Liza_saliens
Lophiidae,Lophius_budegassa
Lophiidae,Lophius_piscatorius
Lophotidae,Lophotus_lacepede
Luvaridae,Luvarus_imperialis
Centriscidae,Macroramphosus_scolopax
Gadidae,Merlangius_merlangus
Merlucciidae,Merluccius_merluccius
Soleidae,Microchirus_ocellatus
Soleidae,Microchirus_variegatus
Gadidae,Micromesistius_poutassou
Myliobatidae,Mobula_mobular
Molidae,Mola_mola
Soleidae,Monochirus_hispidus
Mugilidae,Mugil_cephalus
Mullidae,Mullus_barbatus_barbatus
Mullidae,Mullus_surmuletus
Muraenidae,Muraena_helena
Triakidae,Mustelus_asterias
Triakidae,Mustelus_mustelus
Myliobatidae,Myliobatis_aquila
Carangidae,Naucrates_ductor
Syngnathidae,Nerophis_maculatus
Syngnathidae,Nerophis_ophidion
Sparidae,Oblada_melanura
Ophidiidae,Ophidion_barbatum
Ophichthidae,Ophisurus_serpens
Scombridae,Orcynopsis_unicolor
Dalatiidae,Oxynotus_centrina
Sparidae,Pagellus_acarne
Sparidae,Pagellus_bogaraveo
Sparidae,Pagellus_erythrinus
Sparidae,Pagrus_pagrus
Blenniidae,Parablennius_gattorugine
Blenniidae,Parablennius_rouxi
Blenniidae,Parablennius_sanguinolentus
Blenniidae,Parablennius_tentacularis
Blenniidae,Paralipophrys_trigloides
Ophidiidae,Parophidion_vassali
Soleidae,Pegusa_impar
Soleidae,Pegusa_lascaris
Peristediidae,Peristedion_cataphractum
Petromyzontidae,Petromyzon_marinus
Phycidae,Phycis_blennoides
Phycidae,Phycis_phycis
Pleuronectidae,Platichthys_flesus
Polyprionidae,Polyprion_americanus
Pomatomidae,Pomatomus_saltatrix
Gobiidae,Pomatoschistus_minutus
Gobiidae,Pomatoschistus_quagga
Carcharhinidae,Prionace_glauca
Scophthalmidae,Psetta_maxima
Carangidae,Pseudocaranx_dentex
Myliobatidae,Pteromylaeus_bovinus
Rajidae,Raja_asterias
Rajidae,Raja_clavata
Rajidae,Raja_miraletus
Rajidae,Raja_radula
Molidae,Ranzania_laevis
Echeneidae,Remora_remora
Myliobatidae,Rhinoptera_marginata
Rajidae,Rostroraja_alba
Blenniidae,Salaria_pavo
Scombridae,Sarda_sarda
Clupeidae,Sardina_pilchardus
Clupeidae,Sardinella_aurita
Sparidae,Sarpa_salpa
Centrolophidae,Schedophilus_ovalis
Sciaenidae,Sciaena_umbra
Scombridae,Scomber_japonicus
Scombridae,Scomber_scombrus
Scomberesocidae,Scomberesox_saurus_saurus
Scophthalmidae,Scophthalmus_rhombus
Scorpaenidae,Scorpaena_porcus
Scorpaenidae,Scorpaena_scrofa
Scyliorhinidae,Scyliorhinus_canicula
Scyliorhinidae,Scyliorhinus_stellaris
Carangidae,Seriola_dumerili
Serranidae,Serranus_cabrilla
Serranidae,Serranus_hepatus
Serranidae,Serranus_scriba
Soleidae,Solea_solea
Sparidae,Sparus_aurata
Sphyraenidae,Sphyraena_sphyraena
Sphyrnidae,Sphyrna_tudes
Sphyrnidae,Sphyrna_zygaena
Centracanthidae,Spicara_maena
Centracanthidae,Spicara_smaris
Sparidae,Spondyliosoma_cantharus
Clupeidae,Sprattus_sprattus_sprattus
Squalidae,Squalus_acanthias
Squalidae,Squalus_blainville
Squatinidae,Squatina_oculata
Squatinidae,Squatina_squatina
Stromateidae,Stromateus_fiatola
Labridae,Symphodus_cinereus
Labridae,Symphodus_mediterraneus
Labridae,Symphodus_melanocercus
Labridae,Symphodus_melops
Labridae,Symphodus_ocellatus
Labridae,Symphodus_roissali
Labridae,Symphodus_rostratus
Labridae,Symphodus_tinca
Cynoglossidae,Symphurus_nigrescens
Soleidae,Synapturichthys_kleinii
Syngnathidae,Syngnathus_abaster
Syngnathidae,Syngnathus_acus
Syngnathidae,Syngnathus_typhle
Synodontidae,Synodus_saurus
Istiophoridae,Tetrapturus_belone
Labridae,Thalassoma_pavo
Scombridae,Thunnus_alalunga
Scombridae,Thunnus_thynnus
Torpedinidae,Torpedo_marmorata
Torpedinidae,Torpedo_nobiliana
Torpedinidae,Torpedo_torpedo
Carangidae,Trachinotus_ovatus
Trachinidae,Trachinus_araneus
Trachinidae,Trachinus_draco
Trachinidae,Trachinus_radiatus
Trachipteridae,Trachipterus_trachypterus
Carangidae,Trachurus_trachurus
Trichiuridae,Trichiurus_lepturus
Triglidae,Trigla_lyra
Tripterygiidae,Tripterygion_delaisi
Gadidae,Trisopterus_luscus
Gadidae,Trisopterus_minutus
Sciaenidae,Umbrina_cirrosa
Uranoscopidae,Uranoscopus_scaber
Xiphiidae,Xiphias_gladius
Labridae,Xyrichtys_novacula
Gobiidae,Zebrus_zebrus
Scophthalmidae,Zeugopterus_regius
Zeidae,Zeus_faber
Gobiidae,Zosterisessor_ophiocephalus
Trachipteridae,Zu_cristatus